O.S.;Data;Tipo;Máquina;Nome Máquina;Modelo;Fabricante;Ano de Fabricação;Descrição;Origem
2737;29/07/2024;CORRETIVA;;;;;;OS GERADA AUTOMATICAMENTE POR PROJEDATA - KEVIN MACEDO OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2754;30/07/2024;CORRETIVA;416;416 - Hece 1400;HECE-1400;HECE;2003;OS GERADA AUTOMATICAMENTE POR PAULO ROBERTO PACE OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2756;30/07/2024;CORRETIVA;108;108 - Extrusora;108 - Carnevalli monocamada;Carnevalli ;2008;OS GERADA AUTOMATICAMENTE POR FELIPE MORAIS JULIAO DA SILVA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2757;30/07/2024;CORRETIVA;108;108 - Extrusora;108 - Carnevalli monocamada;Carnevalli ;2008;OS GERADA AUTOMATICAMENTE POR FELIPE MORAIS JULIAO DA SILVA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2759;30/07/2024;CORRETIVA;502;502 - Jaguar rebobinadeira;Jaguar;MegaSteel ;2000;OS GERADA AUTOMATICAMENTE POR ANTONIO MARCOS VIRGINIO ISHIZAKI OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2764;31/07/2024;CORRETIVA;117;117 - Extrusora;117 - Carnevalli monocamada;Carnevalli ;2016;OS GERADA AUTOMATICAMENTE POR DAVID DA CRUZ MALHEIROS OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2769;01/08/2024;CORRETIVA;108;108 - Extrusora;108 - Carnevalli monocamada;Carnevalli ;2008;OS GERADA AUTOMATICAMENTE POR IVANILDO NASCIMENTO DA SILVA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2770;01/08/2024;CORRETIVA;108;108 - Extrusora;108 - Carnevalli monocamada;Carnevalli ;2008;OS GERADA AUTOMATICAMENTE POR IVANILDO NASCIMENTO DA SILVA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2773;01/08/2024;CORRETIVA;501;501 - Jaguar rebobinadeira;Jaguar;MegaSteel ;2000;OS GERADA AUTOMATICAMENTE POR CLAUDINEI AZEVEDO JUNIOR OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2778;02/08/2024;CORRETIVA;501;501 - Jaguar rebobinadeira;Jaguar;MegaSteel ;2000;OS GERADA AUTOMATICAMENTE POR ERONILDO JOSE LINS DA SILVA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2780;02/08/2024;CORRETIVA;115;115 - Extrusora;115 - Carnevalli monocamada;Carnevalli ;2017;OS GERADA AUTOMATICAMENTE POR ALEX FERNANDES RIBEIRO OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2781;02/08/2024;CORRETIVA;115;115 - Extrusora;115 - Carnevalli monocamada;Carnevalli ;2017;OS GERADA AUTOMATICAMENTE POR IZAEL DA SILVA RODRIGUES OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2782;02/08/2024;CORRETIVA;117;117 - Extrusora;117 - Carnevalli monocamada;Carnevalli ;2016;OS GERADA AUTOMATICAMENTE POR MICHAEL DE OLIVEIRA BATISTA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2787;02/08/2024;CORRETIVA;115;115 - Extrusora;115 - Carnevalli monocamada;Carnevalli ;2017;OS GERADA AUTOMATICAMENTE POR IZAEL DA SILVA RODRIGUES OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2789;02/08/2024;CORRETIVA;418;418 - Hece 850;HECE-850;HECE;2012;OS GERADA AUTOMATICAMENTE POR MARIA LUCILENE DOS SANTOS SILVA  OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2790;02/08/2024;CORRETIVA;418;418 - Hece 850;HECE-850;HECE;2012;OS GERADA AUTOMATICAMENTE POR HELENO JO?O PESSOA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2793;04/08/2024;CORRETIVA;117;117 - Extrusora;117 - Carnevalli monocamada;Carnevalli ;2016;OS GERADA AUTOMATICAMENTE POR CARLOS EDUARDO FREITAS DE SOUZA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2804;05/08/2024;CORRETIVA;501;501 - Jaguar rebobinadeira;Jaguar;MegaSteel ;2000;OS GERADA AUTOMATICAMENTE POR ERONILDO JOSE LINS DA SILVA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2805;05/08/2024;CORRETIVA;501;501 - Jaguar rebobinadeira;Jaguar;MegaSteel ;2000;OS GERADA AUTOMATICAMENTE POR ERONILDO JOSE LINS DA SILVA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2814;06/08/2024;CORRETIVA;115;115 - Extrusora;115 - Carnevalli monocamada;Carnevalli ;2017;OS GERADA AUTOMATICAMENTE POR IZAEL DA SILVA RODRIGUES OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2827;06/08/2024;CORRETIVA;115;115 - Extrusora;115 - Carnevalli monocamada;Carnevalli ;2017;OS GERADA AUTOMATICAMENTE POR IZAEL DA SILVA RODRIGUES OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2841;08/08/2024;CORRETIVA;417;417 - Hece 1400;HECE-1400;HECE;2003;OS GERADA AUTOMATICAMENTE POR PAULO ROBERTO PACE OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2857;08/08/2024;CORRETIVA;418;418 - Hece 850;HECE-850;HECE;2012;OS GERADA AUTOMATICAMENTE POR HELENO JO?O PESSOA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2858;09/08/2024;CORRETIVA;115;115 - Extrusora;115 - Carnevalli monocamada;Carnevalli ;2017;OS GERADA AUTOMATICAMENTE POR IVANILDO NASCIMENTO DA SILVA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2860;09/08/2024;CORRETIVA;406;406 - Hece1400;HECE-1400;HECE;2003;OS GERADA AUTOMATICAMENTE POR DENILSON DA SILVA  OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2861;09/08/2024;CORRETIVA;406;406 - Hece1400;HECE-1400;HECE;2003;OS GERADA AUTOMATICAMENTE POR DENILSON DA SILVA  OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2873;10/08/2024;CORRETIVA;507;507 - MegaSteel Rebobinadeira;;MegaSteel ;2000;OS GERADA AUTOMATICAMENTE POR SILVANIO MOTA DE OLIVEIRA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2874;10/08/2024;CORRETIVA;116;116 - Extrusora;116 - Carnevalli monocamada;Carnevalli ;2015;OS GERADA AUTOMATICAMENTE POR ANDRE SOUZA DOS SANTOS OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2875;10/08/2024;CORRETIVA;418;418 - Hece 850;HECE-850;HECE;2012;OS GERADA AUTOMATICAMENTE POR HELENO JO?O PESSOA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2904;13/08/2024;CORRETIVA;501;501 - Jaguar rebobinadeira;Jaguar;MegaSteel ;2000;OS GERADA AUTOMATICAMENTE POR CLAUDINEI AZEVEDO JUNIOR OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2905;13/08/2024;CORRETIVA;501;501 - Jaguar rebobinadeira;Jaguar;MegaSteel ;2000;OS GERADA AUTOMATICAMENTE POR CLAUDINEI AZEVEDO JUNIOR OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
2913;14/08/2024;CORRETIVA;117;117 - Extrusora;117 - Carnevalli monocamada;Carnevalli ;2016;OS GERADA AUTOMATICAMENTE POR DAVID DA CRUZ MALHEIROS OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção
