O.S.;Data;Tipo;Máquina;Nome Máquina;Modelo;Fabricante;Ano de Fabricação;Descrição;Origem;Ano;Mês;Semana;Dia
2737;2024-07-29;CORRETIVA;;;;;;OS GERADA AUTOMATICAMENTE POR PROJEDATA - KEVIN MACEDO OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;7;31;29
2754;2024-07-30;CORRETIVA;416.0;416 - Hece 1400;HECE-1400;HECE;2003.0;OS GERADA AUTOMATICAMENTE POR PAULO ROBERTO PACE OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;7;31;30
2756;2024-07-30;CORRETIVA;108.0;108 - Extrusora;108 - Carnevalli monocamada;Carnevalli ;2008.0;OS GERADA AUTOMATICAMENTE POR FELIPE MORAIS JULIAO DA SILVA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;7;31;30
2757;2024-07-30;CORRETIVA;108.0;108 - Extrusora;108 - Carnevalli monocamada;Carnevalli ;2008.0;OS GERADA AUTOMATICAMENTE POR FELIPE MORAIS JULIAO DA SILVA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;7;31;30
2759;2024-07-30;CORRETIVA;502.0;502 - Jaguar rebobinadeira;Jaguar;MegaSteel ;2000.0;OS GERADA AUTOMATICAMENTE POR ANTONIO MARCOS VIRGINIO ISHIZAKI OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;7;31;30
2764;2024-07-31;CORRETIVA;117.0;117 - Extrusora;117 - Carnevalli monocamada;Carnevalli ;2016.0;OS GERADA AUTOMATICAMENTE POR DAVID DA CRUZ MALHEIROS OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;7;31;31
2769;2024-08-01;CORRETIVA;108.0;108 - Extrusora;108 - Carnevalli monocamada;Carnevalli ;2008.0;OS GERADA AUTOMATICAMENTE POR IVANILDO NASCIMENTO DA SILVA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;8;31;1
2770;2024-08-01;CORRETIVA;108.0;108 - Extrusora;108 - Carnevalli monocamada;Carnevalli ;2008.0;OS GERADA AUTOMATICAMENTE POR IVANILDO NASCIMENTO DA SILVA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;8;31;1
2773;2024-08-01;CORRETIVA;501.0;501 - Jaguar rebobinadeira;Jaguar;MegaSteel ;2000.0;OS GERADA AUTOMATICAMENTE POR CLAUDINEI AZEVEDO JUNIOR OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;8;31;1
2778;2024-08-02;CORRETIVA;501.0;501 - Jaguar rebobinadeira;Jaguar;MegaSteel ;2000.0;OS GERADA AUTOMATICAMENTE POR ERONILDO JOSE LINS DA SILVA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;8;31;2
2780;2024-08-02;CORRETIVA;115.0;115 - Extrusora;115 - Carnevalli monocamada;Carnevalli ;2017.0;OS GERADA AUTOMATICAMENTE POR ALEX FERNANDES RIBEIRO OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;8;31;2
2781;2024-08-02;CORRETIVA;115.0;115 - Extrusora;115 - Carnevalli monocamada;Carnevalli ;2017.0;OS GERADA AUTOMATICAMENTE POR IZAEL DA SILVA RODRIGUES OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;8;31;2
2782;2024-08-02;CORRETIVA;117.0;117 - Extrusora;117 - Carnevalli monocamada;Carnevalli ;2016.0;OS GERADA AUTOMATICAMENTE POR MICHAEL DE OLIVEIRA BATISTA OBRIGATORIO APONTAR O PROBLEMA MANUTENC?O CORRETIVA (FALHA/QUEBRA);Manutenção;2024;8;31;2
